Intercensal Estimates of the Resident Population of States
  1970 to 1980.

Source: Population Distribution Branch
        Bureau of the Census

The 1971-79 estimates are consistent with those published in
Current Population Reports Series P-25, No. 998.  P-25 No. 998
also describes the methodology used to derive the estimates.

Note: Each State Fips code shows 23 lines of data (ages 62-64 are by sex).
No other state age-sex estimates are available for the 1970's.

Fip        Age  4/1/70  7/1/71  7/1/72  7/1/73  7/1/74  7/1/75  7/1/76  7/1/77  7/1/78  7/1/79  4/1/80
47 TN      3-4  132434  128765  129735  133606  140128  139111  131889  128139  128148  126845  126788
47 TN     5-13  693121  688538  686513  676453  670168  666325  667634  663591  656762  647627  642974
47 TN       14   79736   81826   81689   81881   82878   83257   83023   83545   84336   81397   76894
47 TN       15   79156   79996   82766   81897   82543   83561   84184   83953   84631   85012   83159
47 TN       16   76575   79147   80384   82445   82043   82719   83985   84622   84557   84823   84900
47 TN       17   73524   77720   79866   80425   82936   82603   83490   84724   85547   85025   84545
47 TN       18   76790   73596   77426   79222   80682   83529   83707   84851   86439   87067   87012
47 TN       19   72834   74939   73939   78222   81290   83023   86702   87286   88751   90504   90637
47 TN       20   70470   74508   75488   73823   78790   81149   82711   85862   85611   86450   88513
47 TN       21   65502   70084   74528   74534   73542   77981   80717   82274   85044   84760   84813
47 TN       22   67419   68823   71636   74674   74623   73336   77801   80435   81701   84308   84572
47 TN       23   66436   67842   69953   72024   74901   74629   73435   77712   80140   81221   83097
47 TN       24   51921   74799   71317   72732   74420   76927   76653   75118   79104   81147   82418
47 TN    25-29  263878  272969  299152  312717  331313  350447  375174  376653  380570  385336  387987
47 TN    30-34  227768  235536  246506  260638  271903  280895  287474  313964  314645  345317  356636
47 TN    35-44  446958  447650  451654  453808  459454  463753  474718  488257  508536  524482  533841
47 TN    45-54  439519  446493  454863  458026  460481  462387  464419  465127  467610  467093  465366
47 TN    55-59  194554  194261  195221  194605  198601  205420  211736  220403  227442  230692  230307
47 TN    60-61   74024   75123   74023   74187   74617   74267   74430   73958   75026   79138   84139
47 TN   62-64M   45339   46779   49506   50378   51036   51099   51651   52325   52444   52289   52385
47 TN   62-64F   53407   55684   59055   60182   60736   60898   61533   62702   63141   63329   63249
47 TN      65+  382129  396962  404937  420571  434501  449709  463397  478170  493199  508092  517588
48 TX      0-2  602492  638578  648470  640673  617944  617087  625199  646045  665299  699371  716200
48 TX      3-4  398530  395804  404658  425185  449356  451933  434860  426009  434002  447313  452861
48 TX     5-13 2095873 2082203 2065829 2055032 2048183 2053628 2074787 2073511 2070096 2082571 2113197
48 TX       14  233777  243202  244178  246028  249574  256440  256588  256431  252671  245647  236680
48 TX       15  229818  234844  244527  246497  248514  253217  260777  259775  260047  258211  256119
48 TX       16  223290  230005  234433  244998  247046  250104  255310  261661  261014  263191  262483
48 TX       17  218853  227783  232659  237650  248158  250767  254192  257851  264229  265125  268566
48 TX       18  213974  226685  234049  239886  244872  255875  259343  260704  264957  273134  273322
48 TX       19  207595  221281  235097  244446  250572  257660  271739  274415  278203  285237  291865
48 TX       20  206175  218256  226747  240174  249072  255276  263023  274438  277250  281469  288527
48 TX       21  195941  202946  215367  223625  236680  246179  254239  260067  272100  276198  278789
48 TX       22  201280  201839  206425  217483  225271  240119  251491  258494  265381  279608  285572
48 TX       23  199254  199355  204086  209097  220092  230008  246601  257168  265381  274216  285178
48 TX       24  156292  221149  208138  212425  216257  228547  239156  254115  264830  273782  282292
48 TX    25-29  763039  799023  882207  932434  984874 1043143 1123443 1138752 1185458 1244327 1302054
48 TX    30-34  644772  671240  699962  746295  788732  831806  865424  954761 1007677 1068271 1124483
48 TX    35-44 1278349 1281824 1290369 1305863 1319183 1336039 1373966 1412897 1473563 1542677 1603231
48 TX    45-54 1184206 1213423 1236851 1260880 1279861 1299179 1316236 1320052 1327195 1341946 1361666
48 TX    55-59  510856  509387  508012  510761  519116  540664  562883  588649  609535  630441  643396
48 TX    60-61  190409  194018  191831  194084  196980  197998  196252  193764  197838  210336  227338
48 TX   62-64M  120158  123838  129033  130955  132999  134065  137439  139398  139266  138977  141514
48 TX   62-64F  136089  141439  148612  151956  154873  156129  158994  160665  160159  160368  162697
48 TX      65+  987633 1031726 1067610 1103118 1140423 1182982 1222150 1263433 1304280 1345957 1371161
49 UT      0-2   69002   75148   78129   79976   81102   85973   92796  101400  108377  114952  119881
49 UT      3-4   42851   44223   45930   49151   52518   53945   53901   55680   60240   65865   70081
49 UT     5-13  216415  214917  214224  214495  214951  216331  219912  224120  229927  238366  247974
49 UT       14   24473   25802   25784   25835   25823   26870   26387   25689   24972   24355   23894
49 UT       15   24194   24786   26054   26152   26081   26144   27213   26806   26184   25567   24998
49 UT       16   23860   24359   24919   26324   26315   26333   26416   27590   27284   26778   26092
49 UT       17   23292   24250   24599   25222   26467   26516   26514   26653   27928   27698   27185
49 UT       18   23897   25817   26725   27091   27667   29150   29259   29381   29678   31213   29809
49 UT       19   21432   24712   26948   27783   28005   28516   30017   30105   30227   30441   30819
49 UT       20   19777   22394   24996   26841   27566   27604   27965   29264   29152   29044   28716
49 UT       21   20533   19282   21967   24389   26533   27542   27989   28744   30440   30678   31158
49 UT       22   21792   20727   19743   22091   24519   26915   28112   28790   29762   31706   32346
49 UT       23   20216   21595   21106   19933   22188   24756   27313   28636   29458   30576   32298
49 UT       24   15586   23076   22636   21916   20453   22727   25340   27967   29295   30114   31158
49 UT    25-29   72199   77564   87419   94170   99660  103562  109703  111564  116583  124010  135087
49 UT    30-34   57824   60730   63941   68958   73339   77656   81263   91167   97912  103932  105688
49 UT    35-44  107600  109347  111481  114087  115897  117680  120690  125153  132227  139174  142806
49 UT    45-54  101034  103309  105145  106807  107650  108612  109402  109995  110844  112000  112866
49 UT    55-59   41249   42606   43301   44599   45866   47353   48454   49913   51024   52106   52701
49 UT    60-61   15119   15305   15512   15989   16190   16510   16874   17227   17759   18750   19502
49 UT   62-64M    9536   10019   10534   10746   11056   11147   11569   11844   12163   12435   12791
49 UT   62-64F   10345   10802   11424   11788   12114   12264   12557   12718   13188   13556   13967
49 UT      65+   77047   80421   82933   85698   88511   91922   95282   99105  102888  106923  109220
50 VT      0-2   23436   24150   23783   22685   21225   20679   20577   21000   21355   22075   21977
50 VT      3-4   16266   15892   16042   16418   16657   16090   14864   14100   14119   14207   14021
50 VT     5-13   82735   82562   82046   81016   80077   79103   78282   76877   74966   73132   71661
50 VT       14    8957    9253    9410    9363    9399    9866    9536    9570    9477    9129    8844
50 VT       15    8724    8914    9242    9365    9321    9405    9843    9551    9588    9516    9382
50 VT       16    8596    8690    8859    9160    9293    9308    9372    9855    9574    9642    9686
50 VT       17    8273    8577    8647    8782    9068    9267    9244    9346    9861    9608    9747
50 VT       18    9638    9815   10170   10209   10406   10852   11081   11145   11316   11992   10797
50 VT       19    9237    9253    9884   10170   10202   10380   10755   11001   11000   11155   11675
50 VT       20    8159    8045    8164    8788    9124    9184    9321    9715    9878    9922   10665
50 VT       21    7768    7896    7794    7723    8523    8946    9072    9359    9764   10081   10512
50 VT       22    7355    8232    8229    7775    7602    8343    8628    8731    8890    9255    9515
50 VT       23    7176    7680    8535    8305    7781    7625    8267    8539    8578    8755    8912
50 VT       24    5594    8246    8260    8985    8656    8132    7906    8568    8795    8857    9033
50 VT    25-29   28968   30159   33437   35396   38360   41185   43730   43357   43626   43551   44845
50 VT    30-34   23777   24997   26514   28565   30144   31606   32408   35661   37726   40865   42325
50 VT    35-44   46749   46685   47149   47236   47492   47909   48889   50411   52909   55238   57394
50 VT    45-54   46363   46797   47107   47236   47157   47392   47278   47311   47267   47317   47774
50 VT    55-59   20627   20737   20949   21140   21429   21885   22263   22773   23034   23187   23502
50 VT    60-61    8102    8063    7811    7833    7892    7908    7901    7924    8132    8408    8600
50 VT   62-64M    5244    5374    5535    5511    5464    5419    5486    5600    5610    5659    5775
50 VT   62-64F    5662    5989    6307    6383    6346    6306    6315    6404    6462    6511    6648
50 VT      65+   47326   48309   49268   50385   51382   52923   53910   55131   56181   57310   58166
51 VA      0-2  232027  241489  240891  232761  218887  212863  210395  213343  214983  218183  221302
51 VA      3-4  159628  155786  155981  159913  165160  160885  149082  141455  139898  138686  139384
51 VA     5-13  836964  833648  825761  814875  805857  797421  792681  777576  759158  737641  729181
51 VA       14   93478   97523   98858   99384   98936  100460  100217  100072   99369   94850   89394
51 VA       15   91247   94029   98059   99308   99858   99406  101061  100454  100485   99058   96593
51 VA       16   87929   91620   93930   97895   99197   99779   99472  100787  100394   99719   98788
51 VA       17   86849   91683   94449   96473  100743  101454  101969  101092  101782  100250   99692
51 VA       18   87509   91205   94735   98181  100376  103797  104204  103535  102453  102163  101648
51 VA       19   87895   94019   97335  101419  104175  107233  110806  111183  111650  109584  108953
51 VA       20   93718   95699   97502  101613  104346  106795  108816  112185  113173  111956  109646
51 VA       21   91832   89858   92467   97101  100552  103397  105500  107434  111447  111048  108248
51 VA       22   93860   87105   86138   89658   94028   97596  100327  102610  104705  107481  107318
51 VA       23   91329   85568   82701   83380   87214   92233   95729   99212  101892  102794  103857
51 VA       24   69660   94537   84821   82505   83417   87962   92619   96213   99799  100933  101899
51 VA    25-29  334761  344182  373097  383623  394903  409689  431680  432894  448262  464368  477912
51 VA    30-34  279785  293856  307728  330281  347236  363371  373949  408277  423114  435116  449952
51 VA    35-44  549521  551339  553590  558297  563855  570476  583380  600559  628211  647625  662885
51 VA    45-54  531768  542330  550582  557234  560523  562189  562166  557452  555537  548617  545907
51 VA    55-59  211510  214271  217813  221743  229030  238673  248065  258336  265806  268135  267889
51 VA    60-61   75178   77847   77565   79072   80601   81814   82933   83171   85732   90210   95514
51 VA   62-64M   45213   47154   50121   51880   53406   53885   54946   56410   57375   57833   58395
51 VA   62-64F   52682   54824   58096   59913   61214   62352   63667   65371   65884   66445   67157
51 VA      65+  367105  381265  392253  404782  417554  433666  448199  463491  479129  495250  505304
53 WA      0-2  169279  171939  164972  154113  145933  147726  153444  163364  172854  185731  189339
53 WA      3-4  111596  111411  114078  118036  120110  113273  103695  102220  107551  113277  116784
53 WA     5-13  609333  596369  584353  574935  575191  573981  572355  564775  558752  557318  553701
53 WA       14   69273   71056   70060   69129   69586   71851   70478   69475   67842   65147   64305
53 WA       15   68362   68503   70415   69755   69875   70375   72706   71546   71244   69983   68652
53 WA       16   66771   67196   67323   69462   69794   69888   70356   72844   72346   72394   72283
53 WA       17   67301   66972   66598   66924   70054   70253   70250   70716   73683   73363   74296
53 WA       18   64407   67168   65716   65986   67344   70173   70213   69868   70837   73856   74244
53 WA       19   63669   65125   66173   66574   68206   69862   73133   73342   74311   75806   79548
53 WA       20   63946   64883   63378   66806   68521   69966   71610   74846   76108   77262   79452
53 WA       21   60745   60690   60538   61988   66508   67973   69650   71324   75666   77263   79060
53 WA       22   62160   60999   59143   61260   63399   67841   69309   71040   73602   78357   80478
53 WA       23   61816   60010   59320   60006   62807   65046   69534   71164   73825   76713   80599
53 WA       24   47833   67083   60957   62153   63260   66095   68263   72891   75278   78094   80953
53 WA    25-29  239138  247655  267079  278148  295194  313328  335860  339749  356185  373584  389997
53 WA    30-34  193731  202150  209414  225708  242681  258057  268645  297085  314471  334883  354645
53 WA    35-44  374456  367863  362402  363286  370109  376520  387572  403373  431269  459982  487214
53 WA    45-54  393319  390173  385776  382294  382931  382301  380202  377371  379476  383541  392021
53 WA    55-59  167147  167629  166903  167427  170815  175473  180377  186616  192278  198202  203986
53 WA    60-61   60055   60497   60285   61006   62260   63596   64084   64543   66934   70699   75410
53 WA   62-64M   37900   39288   40603   41580   42396   42938   44089   45228   46708   48055   50075
53 WA   62-64F   40295   42122   43484   44326   45279   46166   47524   48738   49965   51550   53552
53 WA      65+  320712  330772  338915  347881  357694  368656  380261  393932  407888  422572  431562
54 WV      0-2   82126   85722   87219   86247   82837   81917   82782   85847   87550   89228   88090
54 WV      3-4   56158   54911   55462   56297   58466   59656   57522   55215   55275   56547   57493
54 WV     5-13  299923  294348  289988  283582  279135  278417  281600  281879  278862  276443  278155
54 WV       14   35769   36837   36665   35871   34853   34798   34576   34749   34716   33811   32136
54 WV       15   36220   35811   37074   36637   35930   35317   35477   35075   35043   35101   34665
54 WV       16   35310   35881   35728   36685   36304   35985   35549   35492   34851   34873   34742
54 WV       17   35045   35332   35681   35222   36126   36208   36050   35372   35149   34564   34355
54 WV       18   34583   33055   33559   33632   33329   34871   35326   35169   34424   34353   34444
54 WV       19   31347   32408   31800   32455   33004   33417   35598   36205   35972   35580   35998
54 WV       20   29073   30828   31797   30646   31612   32586   33257   35127   35143   34989   35408
54 WV       21   27110   28673   30826   30667   29680   31069   32455   33007   34410   34688   35170
54 WV       22   27045   29586   30480   31426   30965   30401   31931   33059   33159   34695   35117
54 WV       23   26135   28566   31046   31053   31625   31505   31033   32170   32821   33013   33946
54 WV       24   19324   30553   30743   32579   32065   32794   32742   31840   32438   33080   33047
54 WV    25-29   98248  102922  116040  125386  137591  150171  164457  166229  165869  164439  160954
54 WV    30-34   90137   91450   93960   97373   99375  102998  106777  119236  127729  138973  144649
54 WV    35-44  194990  191388  190652  188300  186758  186810  190705  194726  200397  205233  207419
54 WV    45-54  210891  211324  212680  212275  210807  211055  211208  208539  204744  200926  198112
54 WV    55-59   96319   96021   96012   95415   95628   97365   99469  102686  104088  105394  105219
54 WV    60-61   35796   36669   36304   36032   35978   36335   36818   36573   36464   37395   38408
54 WV   62-64M   22987   23220   24081   24405   24499   24402   24754   25181   25107   24804   24527
54 WV   62-64F   25984   26557   27508   27996   28375   28633   29045   29386   29572   29755   29722
54 WV      65+  193717  198596  202343  206180  210507  215540  220370  225326  229612  234262  237868
55 WI      0-2  222163  222135  215084  203242  192215  191757  193983  199557  202839  210013  213809
55 WI      3-4  160242  153350  150457  150861  150819  142971  131445  127470  130269  132560  133131
55 WI     5-13  843532  831423  819448  801488  783240  763691  743177  718723  690228  667304  654084
55 WI       14   92427   95501   96311   96539   96442   99146   95682   93062   90825   86950   82967
55 WI       15   91662   91696   95240   95936   96342   96559   98958   95876   93112   91307   88839
55 WI       16   88095   90406   90942   94381   95283   96038   95980   98778   95597   93307   91856
55 WI       17   86501   88135   89844   90174   93579   94835   95149   95324   98077   95290   93134
55 WI       18   87855   86103   87713   88806   89059   92724   93338   93791   93722   96625   93902
55 WI       19   79315   84855   85454   87283   89115   89853   93444   94705   95364   96043   98881
55 WI       20   74019   80136   84520   84336   86817   88740   88878   92539   93328   94288   95169
55 WI       21   68526   71668   77948   80532   80787   83308   84893   85452   88768   90128   92035
55 WI       22   70705   71643   73402   77815   80158   80682   82617   84491   84907   88687   90288
55 WI       23   69263   70752   72957   73538   77550   80011   79999   81985   83654   84514   86856
55 WI       24   54746   77849   74446   75723   75662   79633   81547   81459   83048   84954   85678
55 WI    25-29  272919  281430  306725  319509  337453  355813  377730  380342  386037  393788  401915
55 WI    30-34  233824  238003  246128  259156  268127  277985  283007  307300  319345  336761  348115
55 WI    35-44  470494  463578  461567  458906  457657  455593  456935  464730  479288  492828  501973
55 WI    45-54  476244  474428  475416  475497  474570  474857  471690  467543  462077  457171  452945
55 WI    55-59  216073  217760  218687  218694  218766  219535  220155  223169  224907  227439  229046
55 WI    60-61   79560   79851   79720   80882   82016   83420   83355   82509   82103   82838   83896
55 WI   62-64M   52350   53012   54217   54324   55029   55337   56257   57398   57718   57735   57409
55 WI   62-64F   56685   58549   60548   61217   61978   62572   63708   64959   65467   65687   65642
55 WI      65+  470621  479893  485640  495408  503121  513924  523978  535355  545429  556595  564197
56 WY      0-2   17232   18172   18176   17981   18056   19193   20624   22757   24692   27295   28103
56 WY      3-4   11142   11173   11765   12435   13072   13087   12937   13497   14637   15994   16742
56 WY     5-13   63130   62248   61356   60605   61139   62332   63275   64283   64897   66416   69076
56 WY       14    7331    7510    7386    7423    7652    7925    7931    7864    7762    7569    7345
56 WY       15    7188    7300    7484    7363    7526    7820    8049    8098    7970    7932    7786
56 WY       16    7205    7145    7245    7443    7461    7703    7969    8261    8265    8218    8164
56 WY       17    6855    7191    7142    7245    7556    7636    7836    8138    8369    8432    8337
56 WY       18    6435    6827    7122    7097    7296    7706    7764    7997    8282    8590    8696
56 WY       19    5564    6395    6906    7297    7390    7818    8318    8488    8842    9302    9596
56 WY       20    5318    5749    6479    6967    7426    7695    8120    8671    8876    9303    9804
56 WY       21    5007    5183    5751    6380    6927    7598    7906    8421    9057    9375    9746
56 WY       22    5203    5440    5630    6077    6763    7547    8252    8638    9209    9982   10112
56 WY       23    5164    5413    5815    5914    6406    7308    8115    8912    9316    9988   10455
56 WY       24    4119    5997    5925    6255    6356    7010    7941    8829    9641   10101   10551
56 WY    25-29   21506   22630   25166   27161   29479   32459   36142   36528   42172   46368   49335
56 WY    30-34   18635   19584   20622   22106   23977   25934   27433   31128   33813   36883   39400
56 WY    35-44   38310   38387   38707   38868   39553   40959   42692   44840   47532   50774   52995
56 WY    45-54   37258   37322   37495   37743   38456   39347   39816   40441   40693   41270   41605
56 WY    55-59   16202   16056   16010   15957   16194   16620   17017   17673   18138   18642   18930
56 WY    60-61    5817    5863    5684    5652    5848    6029    6023    6016    6108    6356    6578
56 WY   62-64M    4014    3985    4041    3982    4017    4064    4128    4259    4282    4345    4403
56 WY   62-64F    3699    3839    4007    4092    4155    4211    4340    4529    4599    4619    4623
56 WY      65+   30082   30872   31432   32015   32796   33695   34324   35085   35725   36624   37175
