Intercensal Estimates of the Resident Population of States
  1970 to 1980.

Source: Population Distribution Branch
        Bureau of the Census

The 1971-79 estimates are consistent with those published in
Current Population Reports Series P-25, No. 998.  P-25 No. 998
also describes the methodology used to derive the estimates.

Note: Each State Fips code shows 23 lines of data (ages 62-64 are by sex).
No other state age-sex estimates are available for the 1970's.

Fip        Age  4/1/70  7/1/71  7/1/72  7/1/73  7/1/74  7/1/75  7/1/76  7/1/77  7/1/78  7/1/79  4/1/80
13 GA       16   90050   94203   96778  100500  100935  101890  102324  103492  103458  104398  105046
13 GA       17   88099   92847   95983   98600  102250  102161  103296  104282  105284  105920  105809
13 GA       18   87319   91831   95172   98290  100450  103335  103575  104616  105165  106640  106188
13 GA       19   83993   90111   94363   98396  101235  103331  107480  107674  108738  110163  109819
13 GA       20   88815   87638   90677   95019   98342  100276  102593  105438  104550  105590  106612
13 GA       21   84041   84349   85022   88880   92851   95833   98700  100482  102807  102665  102653
13 GA       22   88691   84306   84176   85130   88494   92486   96170   98750  100172  103340  103084
13 GA       23   87158   84884   83638   84446   85087   88540   93099   96596   98928  101082  102597
13 GA       24   68448   94624   87202   86221   86266   86506   90113   94172   97022   99553  101138
13 GA    25-29  330501  344782  377472  394724  412935  428805  449262  446765  454575  469343  481276
13 GA    30-34  273700  286398  300634  323177  339562  352380  362656  397109  413074  432791  448765
13 GA    35-44  516461  521425  527261  534927  543208  549765  562282  579988  604703  630495  647332
13 GA    45-54  484905  496731  505054  514635  518980  518266  517975  518845  520255  525214  528004
13 GA    55-59  207251  208386  210980  212963  219383  227428  233042  240657  246769  249226  246907
13 GA    60-61   76663   79492   78060   78843   79702   80391   80272   79941   80806   85788   93355
13 GA   62-64M   44483   46723   50093   52122   53183   52895   53296   54725   54795   55394   55164
13 GA   62-64F   54544   57575   61553   63953   65188   64864   64834   66207   66384   67727   67350
13 GA      65+  365382  381122  393421  406556  421922  438896  453870  471085  488105  505588  516731
15 HI      0-2   42181   45287   46240   45416   44023   43901   44038   44887   45081   46251   48149
15 HI      3-4   28770   27673   27812   29134   30656   30219   28996   28410   28408   28803   29699
15 HI     5-13  144260  146166  145766  142728  140510  139016  138056  135645  132763  131888  132496
15 HI       14   15719   16396   16729   17098   17080   17218   17370   17140   16888   16236   15431
15 HI       15   15078   15970   16582   16714   17136   17093   17258   17315   17025   16973   16251
15 HI       16   14545   15396   16022   16421   16589   16970   16938   16994   16978   16873   16606
15 HI       17   14641   15695   16457   16986   17588   17496   17874   17652   17315   17363   16951
15 HI       18   13747   15065   15984   17102   17502   17651   17431   17172   16695   16471   17033
15 HI       19   13982   16444   17781   19112   19553   20340   20600   20159   20297   20066   19605
15 HI       20   16739   17251   19228   21295   21441   21956   22576   22679   22679   23020   21909
15 HI       21   18208   15254   16367   19200   20138   20421   20836   21200   21643   21771   21796
15 HI       22   17321   16586   14774   16200   18344   19451   19842   20229   20760   21432   21188
15 HI       23   16107   15657   15775   14232   15214   17628   18722   19280   19789   20378   20369
15 HI       24   13357   16437   15560   15719   13849   15240   17643   18799   19480   20023   20420
15 HI    25-29   59583   63571   70235   73699   75634   76380   79446   80708   84764   90090   95287
15 HI    30-34   47731   51545   55553   60909   65002   69245   72136   77904   80310   83175   84314
15 HI    35-44   95727   96756   97721   98596   98613   99236  100453  102054  105163  109663  111416
15 HI    45-54   84418   89270   92769   94821   96617   97757   98443   97877   96766   96164   94444
15 HI    55-59   30399   32465   33915   35183   36910   39042   40968   43043   44721   46683   47383
15 HI    60-61   10505   11225   11744   12345   12639   13010   13601   13981   14561   15487   16362
